Model,Accuracy,F-Score
Extreme Gradient,0.84,0.851851851851852
Light GBM,0.82,0.8333333333333334
Gradient Boosting,0.82,0.826923076923077
Random Forest,0.74,0.74
SGD,0.62,0.7205882352941176
ANN,0.62,0.7205882352941176
Logistic Regression,0.59,0.6917293233082706
Decision Tree,0.67,0.6732673267326733
Naive Bayes,0.52,0.6619718309859155
SVM,0.5,0.0
