Model,Accuracy,F-Score
SGD,0.5,0.6666666666666666
ANN,0.5,0.6666666666666666
Decision Tree,0.72,0.65
Light GBM,0.7,0.5833333333333334
Random Forest,0.56,0.21428571428571425
Extreme Gradient,0.55,0.18181818181818182
Gradient Boosting,0.55,0.18181818181818182
Naive Bayes,0.5,0.0
SVM,0.5,0.0
Logistic Regression,0.5,0.0
