Model,Accuracy,F-Score
Extreme Gradient,0.81,0.8256880733944953
Light GBM,0.81,0.822429906542056
Gradient Boosting,0.79,0.8000000000000002
Logistic Regression,0.6,0.6666666666666666
Decision Tree,0.65,0.6601941747572816
Naive Bayes,0.6,0.5652173913043478
SGD,0.56,0.5319148936170213
ANN,0.56,0.5319148936170213
Random Forest,0.47,0.10169491525423728
SVM,0.5,0.0
