Model,Accuracy,F-Score
Extreme Gradient,0.77,0.7676767676767676
Light GBM,0.79,0.7640449438202247
Gradient Boosting,0.74,0.74
SGD,0.5,0.6666666666666666
ANN,0.5,0.6666666666666666
Logistic Regression,0.64,0.6086956521739131
Decision Tree,0.7,0.5945945945945945
Naive Bayes,0.59,0.577319587628866
SVM,0.62,0.525
Random Forest,0.63,0.41269841269841273
