Model,Accuracy,F-Score
Extreme Gradient,0.84,0.851851851851852
Light GBM,0.82,0.8333333333333334
Gradient Boosting,0.82,0.826923076923077
Random Forest,0.74,0.7450980392156863
SGD,0.6,0.7142857142857143
ANN,0.6,0.7142857142857143
Decision Tree,0.68,0.6923076923076923
Logistic Regression,0.59,0.6917293233082706
Naive Bayes,0.52,0.6619718309859155
SVM,0.5,0.0
