Model,Accuracy,F-Score
Naive Bayes,0.59,0.577319587628866
SGD,0.55,0.5631067961165048
ANN,0.55,0.5631067961165048
SVM,0.6,0.5
Decision Tree,0.64,0.45454545454545453
Light GBM,0.63,0.41269841269841273
Random Forest,0.63,0.41269841269841273
Logistic Regression,0.55,0.28571428571428575
Extreme Gradient,0.56,0.21428571428571425
Gradient Boosting,0.55,0.18181818181818182
