Model,Accuracy,F-Score
Extreme Gradient,0.79,0.8037383177570094
Light GBM,0.74,0.7678571428571428
Gradient Boosting,0.75,0.7422680412371133
Logistic Regression,0.58,0.5961538461538461
SGD,0.63,0.5647058823529412
ANN,0.63,0.5647058823529412
Decision Tree,0.57,0.5274725274725274
Naive Bayes,0.53,0.253968253968254
Random Forest,0.5,0.0
SVM,0.5,0.0
