Model,Accuracy,F-Score
SGD,0.55,0.6808510638297873
ANN,0.55,0.6808510638297873
Naive Bayes,0.59,0.577319587628866
SVM,0.6,0.5
Decision Tree,0.66,0.5
Random Forest,0.64,0.43750000000000006
Light GBM,0.63,0.41269841269841273
Logistic Regression,0.55,0.28571428571428575
Extreme Gradient,0.56,0.21428571428571425
Gradient Boosting,0.55,0.18181818181818182
