Model,Accuracy,F-Score
Extreme Gradient,0.79,0.8037383177570094
Light GBM,0.74,0.7678571428571428
Gradient Boosting,0.75,0.7422680412371133
Logistic Regression,0.58,0.5961538461538461
SGD,0.62,0.5365853658536586
ANN,0.62,0.5365853658536586
Decision Tree,0.52,0.4782608695652174
Naive Bayes,0.53,0.253968253968254
Random Forest,0.5,0.0
SVM,0.5,0.0
