Model,Accuracy,F-Score
Light GBM,0.78,0.7924528301886793
Extreme Gradient,0.77,0.7889908256880733
Random Forest,0.77,0.780952380952381
Gradient Boosting,0.75,0.7706422018348624
Decision Tree,0.76,0.7647058823529411
SGD,0.5,0.6666666666666666
ANN,0.5,0.6666666666666666
Logistic Regression,0.62,0.5869565217391305
Naive Bayes,0.59,0.577319587628866
SVM,0.57,0.5274725274725274
