Model,Accuracy,F-Score
Extreme Gradient,0.91,0.53
Light GBM,0.90,0.49
Gradient Boosting,0.89,0.38
Decision Tree,0.81,0.34
Naive Bayes,0.75,0.31
stochastic gradient,0.33,0.23
Neural Network,0.33,0.23
Random Forest,0.88,0.14
Logistic Regression,0.86,0.03
Support Vector,0.87,0.00
